Score,LearningTime,quadrant,Category,Category2
75.39384196414301,6.283205767186263,1,3,3
79.89019539595809,6.880559316397793,1,2,2
75.02478687487138,7.068381903095627,1,2,2
74.98931536970483,6.638091927262725,1,2,2
87.21189606796192,5.9259402033912405,1,4,4
82.2059821910346,6.918039077081548,1,2,2
81.06359249036102,6.5385110634288,1,2,2
76.48657086344446,5.724350076177833,1,3,3
78.29351908511956,7.566614608260733,1,2,2
99.34886664913334,7.147615658209089,1,1,1
81.42515227591309,7.879449731218218,1,2,2
92.54370752656229,6.306167301420801,1,4,4
96.193930535152,5.191174989406222,1,4,4
85.08879890572243,5.938227643934246,1,4,4
100.0,5.442393442102583,1,4,4
97.94422634798329,5.943025356838737,1,4,4
77.84762215964632,5.512299876962294,1,3,3
78.03093282666381,5.951395675017918,1,3,3
81.01948947817249,5.3246039897691535,1,3,3
95.39444756096017,6.000124311535844,1,4,4
92.971669387171,6.068984611630933,1,4,4
92.25887424880509,6.893946415582028,1,1,1
82.85646844443733,5.482348331835273,1,3,3
85.7322276578464,6.204908974714763,1,4,4
79.98603137157613,6.527510018811343,1,2,2
90.56262231272008,7.53077534795762,1,1,1
81.58494143733995,6.021514583903994,1,3,3
85.4284719510459,6.484652229730117,1,1,1
79.49244419685091,6.595698457304167,1,2,2
79.69854832203097,7.990408412559974,1,2,2
80.83602236690042,6.315489009917896,1,3,3
92.12065387978603,6.012579275633362,1,4,4
76.8821278044502,5.195276262098982,1,3,3
95.61276059592282,5.797116701293177,1,4,4
78.5977002272388,6.363154950137503,1,2,2
81.79058986352887,5.026162409662082,1,3,3
77.1948084193772,6.708837335780393,1,2,2
75.26693686248673,5.786896937788338,1,3,3
82.64535399374928,5.405730590118409,1,3,3
84.37562173260591,5.57846000612034,1,4,4
79.34628001141311,6.265059033280947,1,3,3
78.40363708601748,7.507014743111346,1,2,2
77.51666468371921,6.770393682626796,1,2,2
76.05785909518075,6.593701530335128,1,2,2
79.47996940580026,6.414592045054127,1,2,2
80.95350506686891,5.7346054515429135,1,3,3
75.17386733971531,5.193318451570893,1,3,3
83.36752931735491,6.892706658909001,1,2,2
88.10326562693788,5.224179880575771,1,4,4
95.5725629624291,7.083719607732435,1,1,1
86.7666838180556,5.495871400112366,1,4,4
97.32066806672574,7.169561115280639,1,1,1
81.99564363943146,5.99500722459925,1,3,3
77.30769238582702,6.677351996424456,1,2,2
86.44938249266478,9.019721551665342,1,1,1
81.72932606681934,6.737464183454319,1,2,2
79.62463845473579,5.050471302309053,1,3,3
78.60816498027489,7.222849297405892,1,2,2
76.39871927682442,9.522885925330929,1,2,2
88.65574872112876,8.170011067867602,1,1,1
87.98888111667858,6.399604734612468,1,1,1
99.76554661275418,6.802181965451913,1,1,1
76.7647903572191,5.173135144036422,1,3,3
84.46205488940397,6.627688664632444,1,1,1
84.72921942945021,6.616798045778283,1,1,1
82.11753782171874,5.616389747068863,1,3,3
80.70551465777538,7.289517551195817,1,2,2
77.13948289927153,6.1881298962747096,1,3,3
95.88415554471389,5.121135199054311,1,4,4
83.1939472640664,6.420314427488636,1,2,2
83.62268112215804,7.420535441864424,1,2,2
76.16423478667518,5.692253394773193,1,3,3
79.75877406891459,7.956737595725139,1,2,2
78.41170719998557,5.094274765261399,1,3,3
90.45844270510072,5.767883125544196,1,4,4
75.72415017442204,5.546166583294559,1,3,3
86.70939150114098,6.5661981538772975,1,1,1
82.5404164356454,5.8692227138539375,1,3,3
89.93570127561391,6.483975434979971,1,1,1
79.52470029672259,7.269756730686199,1,2,2
82.66935799084865,7.232753576921337,1,2,2
74.8440663425086,6.043250974427518,1,3,3
91.71600155995804,5.144295018455001,1,4,4
80.99403298189117,5.390312294364252,1,3,3
86.23214040277333,7.610035430246857,1,1,1
85.84087186758522,5.560921269123488,1,4,4
84.12791964517328,7.259545670319228,1,2,2
90.38511150021267,7.536537353990076,1,1,1
87.31645596975319,6.152436543905288,1,4,4
95.15423289121595,6.651552945777163,1,1,1
78.95699817753271,5.94221054243049,1,3,3
86.1929963174207,8.045184926974944,1,1,1
91.15547131751504,5.619499210856393,1,4,4
78.71626941041423,9.019358282637821,1,2,2
100.0,5.7155817087217855,1,4,4
82.65902951609397,5.859573514380363,1,3,3
77.66018206289367,6.207548451256871,1,3,3
82.15368663897942,5.099979366731881,1,3,3
84.30394812612593,6.161706770036675,1,4,4
79.68872163946874,6.67758597192933,1,2,2
80.0496117452957,7.632074390367919,1,2,2
82.51955037396566,5.495878872225877,1,3,3
82.02941811221054,5.86199372706758,1,3,3
76.46398347880556,5.62678415694296,1,3,3
96.34831477469324,5.014743680612315,1,4,4
79.84271847666642,6.138823092827403,1,3,3
76.91229014974554,6.958155169526577,1,2,2
75.46101505122235,6.138969107129156,1,3,3
93.50979780322746,5.698393120785708,1,4,4
84.45222409935685,8.721832007287237,1,1,1
80.20691335607256,6.972647289742751,1,2,2
76.66692089958568,5.44893137054845,1,3,3
91.04784033525006,7.738152794031814,1,1,1
83.19874463666636,5.657865395712808,1,3,3
90.74714116199513,6.66603320408547,1,1,1
80.85938707339176,6.105127499438803,1,3,3
78.53776444614651,5.280697445918474,1,3,3
74.84251507926851,5.914207115298525,1,3,3
80.75742417013392,6.307422184957512,1,3,3
79.18930169090666,5.956028959901523,1,3,3
100.0,8.008667161519629,1,1,1
87.72150659303848,5.885672053634601,1,4,4
83.18231784109982,6.702302450750222,1,2,2
97.82313773279799,8.663350557856678,1,1,1
78.74464550283074,7.520687714759159,1,2,2
76.16009499797156,7.257529742448115,1,2,2
81.54725544080242,6.014998290117262,1,3,3
76.41958941221698,6.40655905215932,1,2,2
85.84942341640827,6.9721213678774,1,1,1
86.93920451331847,5.212570629962249,1,4,4
87.25163100964167,5.924834853953245,1,4,4
83.68647882239358,5.644629254790966,1,3,3
78.20113101255717,7.594211552342838,1,2,2
93.29601754809298,5.988367359088349,1,4,4
